x,y,s,s_norm,track_yaw_rad,kappa,w_l,w_r,n_x,n_y
5.6971,-0.0239,5.7199,0.2345,-0.2555,-0.1886,0.6750,0.9350,0.2527,0.9675
5.7456,-0.0368,5.7700,0.2366,-0.2651,-0.1922,0.6950,0.9250,0.2620,0.9651
5.7940,-0.0502,5.8202,0.2386,-0.2749,-0.1958,0.7050,0.9150,0.2715,0.9624
5.8423,-0.0640,5.8705,0.2407,-0.2849,-0.1995,0.7250,0.9050,0.2811,0.9597
5.8904,-0.0784,5.9208,0.2427,-0.2951,-0.2031,0.7450,0.8950,0.2909,0.9568
5.9385,-0.0933,5.9711,0.2448,-0.3055,-0.2068,0.7550,0.8750,0.3008,0.9537
5.9865,-0.1087,6.0215,0.2469,-0.3161,-0.2106,0.7250,0.9050,0.3109,0.9505
6.0344,-0.1247,6.0720,0.2489,-0.3268,-0.2145,0.7450,0.9050,0.3210,0.9471
6.0822,-0.1412,6.1226,0.2510,-0.3377,-0.2184,0.7650,0.8950,0.3313,0.9435
6.1299,-0.1582,6.1732,0.2531,-0.3488,-0.2225,0.7850,0.8750,0.3418,0.9398
6.1775,-0.1758,6.2239,0.2552,-0.3602,-0.2267,0.8050,0.8650,0.3524,0.9358
6.2249,-0.1940,6.2747,0.2572,-0.3717,-0.2311,0.8350,0.8450,0.3632,0.9317
6.2721,-0.2127,6.3255,0.2593,-0.3835,-0.2356,0.8550,0.8250,0.3741,0.9274
6.3191,-0.2320,6.3763,0.2614,-0.3955,-0.2403,0.8850,0.8150,0.3853,0.9228
6.3660,-0.2519,6.4272,0.2635,-0.4078,-0.2453,0.9050,0.7950,0.3965,0.9180
6.4125,-0.2724,6.4780,0.2656,-0.4203,-0.2504,0.9350,0.7750,0.4080,0.9130
6.4588,-0.2934,6.5289,0.2677,-0.4331,-0.2558,0.9650,0.7550,0.4197,0.9077
6.5048,-0.3150,6.5797,0.2698,-0.4462,-0.2615,0.9950,0.7350,0.4315,0.9021
6.5505,-0.3373,6.6306,0.2718,-0.4596,-0.2674,1.0850,0.7150,0.4435,0.8963
6.5959,-0.3601,6.6813,0.2739,-0.4732,-0.2740,1.1150,0.6950,0.4558,0.8901
6.6409,-0.3836,6.7321,0.2760,-0.4872,-0.2814,1.1450,0.7050,0.4682,0.8836
6.6855,-0.4076,6.7828,0.2781,-0.5015,-0.2894,1.1850,0.7150,0.4808,0.8768
